Count/Card Name/Category/Element/Cost/Set Name/Rarity/
2/Tonberry/Monster/Water/1/Opus V/Rare/
2/Flintlock/Backup/Water/2/Opus V/Common/
1/Moogle Knight/Forward/Water/3/Opus V/Common/
2/Sylph/Summon/Wind/1/Opus I/Rare/
3/Ninja/Forward/Wind/3/Opus I/Common/
3/Brother/Backup/Wind/3/Opus I/Starter/
3/Rikku/Forward/Wind/4/Opus I/Starter/
3/Sage/Backup/Fire/2/Opus II/Common/
3/Belias, the Gigas-EX/Summon/Fire/2/Opus II/Rare/
3/Cyclops/Summon/Lightning/3/Opus II/Common/
3/Black Mage/Backup/Lightning/2/Opus II/Common/
1/Ramza/Forward/Lightning/4/Opus I/Rare-Reverse/
1/Eald'narche/Forward/Dark/6/Opus V/Legendary/
1/Eald'narche/Forward/Dark/6/Opus V/Legendary-Reverse/
1/Bismarck/Summon/Water/2/Opus V/Heroic-Reverse/
